id,carat,y,cut,color,clarity
64,0.9,6.19,3,4,6
65,1.5,7.16,6,7,6
66,0.7,5.72,2,5,4
67,0.9,6.03,5,5,5
68,0.37,4.6,3,2,5
69,0.34,4.45,3,2,5
70,0.92,6.27,3,3,4
71,1.0,6.04,5,1,6
72,0.58,5.12,5,3,8
73,1.09,6.6,2,2,7
74,0.8,5.82,6,5,5
75,2.01,8.15,1,4,6
76,2.15,8.16,2,6,6
77,1.81,7.68,1,6,5
78,0.4,4.75,2,2,6
79,1.55,7.46,3,5,5
80,0.9,6.09,6,4,6
81,1.1,6.65,2,5,4
82,1.12,6.69,2,5,4
83,1.11,6.6,3,1,2
84,1.33,6.99,1,6,5
85,1.6,7.63,3,5,4
86,0.51,5.35,6,4,3
87,1.5,7.38,2,4,7
88,0.4,4.73,2,4,2
89,0.5,5.01,1,1,4
90,2.02,8.05,2,6,7
91,1.12,6.61,1,5,6
92,0.53,5.15,1,4,4
93,0.39,4.67,3,7,2
94,0.66,5.57,1,1,4
95,0.4,4.81,1,1,5
96,0.45,4.73,6,1,5
97,0.9,5.99,3,2,7
98,0.42,4.77,2,2,5
99,1.53,7.35,1,7,2
100,0.35,4.56,2,4,4
101,0.72,5.71,1,7,6
102,0.9,6.06,1,6,5
103,0.47,4.82,5,2,6
104,1.25,6.93,2,1,7
105,0.31,4.41,2,4,2
106,1.71,7.5,6,4,7
107,0.31,4.4,2,2,1
108,0.3,4.26,1,1,6
109,0.9,6.19,1,1,6
110,0.94,5.97,5,5,6
111,1.02,6.47,3,2,5
112,0.5,5.22,2,3,6
113,0.5,4.82,5,3,8
114,0.8,5.98,2,1,4
115,0.91,6.3,6,2,8
116,2.02,8.1,1,4,6
117,0.51,5.14,2,4,5
118,0.4,4.79,2,2,4
119,0.41,4.76,2,1,7
120,0.3,4.23,3,6,6
121,1.15,6.8,2,2,2
122,0.3,4.32,2,5,6
123,0.9,6.19,3,7,4
124,1.39,7.19,3,2,4
125,0.42,4.95,3,4,4
126,0.55,5.33,2,3,7
127,0.71,5.73,2,5,6
128,0.52,5.22,2,3,1
129,0.9,6.16,3,4,5
130,0.59,5.42,2,4,6
131,0.7,5.71,2,7,5
132,0.31,4.37,2,3,5
133,0.3,4.38,1,4,4
134,0.34,4.41,1,5,5
135,0.71,5.78,1,1,6
136,0.32,4.34,3,5,7
137,0.72,5.76,2,7,6
138,1.06,6.46,1,4,6
139,0.76,5.86,3,3,5
140,0.3,4.27,3,5,5
141,1.5,7.27,1,7,3
142,0.53,5.17,3,1,7
143,2.11,8.13,3,3,7
144,1.07,6.55,2,7,5
145,0.32,4.43,2,3,4
146,0.57,5.37,3,5,5
147,1.69,7.6,3,2,5
148,1.11,6.64,2,1,3
149,0.92,6.24,3,1,4
150,0.92,6.26,3,3,6
151,1.01,6.56,2,2,3
152,0.34,4.53,6,2,6
153,0.78,5.85,3,5,7
154,1.01,6.35,3,3,7
155,1.0,6.38,3,5,6
156,1.24,6.76,1,3,6
157,1.66,7.6,1,1,6
158,0.54,5.25,1,4,2
159,1.58,7.5,2,2,6
160,0.7,5.7,2,2,6
161,1.0,6.27,6,6,6
162,0.33,4.45,2,7,7
163,1.0,6.56,3,1,7
164,0.7,5.73,3,2,6
165,0.35,4.51,2,2,5
166,0.38,4.66,1,5,5
167,1.02,6.59,1,3,7
168,0.71,5.95,6,4,1
169,1.76,7.83,2,4,5
170,1.51,7.43,2,6,4
171,1.27,7.04,1,3,4
172,0.71,5.64,1,5,7
173,1.55,7.36,2,2,6
174,0.25,4.1,3,3,2
175,0.42,4.72,1,4,6
176,0.4,4.76,3,3,4
177,0.3,4.33,2,2,5
178,0.57,5.29,1,3,7
179,1.21,6.79,1,5,7
180,0.41,4.79,1,3,3
181,0.71,5.7,3,6,6
182,0.7,5.66,1,4,4
183,0.29,4.32,3,2,3
184,0.81,5.95,1,5,4
185,0.31,4.48,3,2,6
186,1.0,6.34,6,2,6
187,1.2,6.74,1,6,4
188,1.07,6.59,3,3,4
189,2.05,8.14,1,7,4
190,1.36,7.16,2,5,6
191,0.81,5.96,2,5,6
192,0.72,5.71,1,3,6
193,0.33,4.51,2,5,2
194,1.02,6.4,6,6,7
195,1.51,7.29,3,7,6
196,0.9,6.09,6,2,7
197,1.02,6.34,1,4,5
198,0.85,5.65,5,5,8
199,1.04,6.56,2,3,1
200,0.41,4.85,2,5,6
201,0.4,4.72,1,1,5
202,0.38,4.66,1,4,5
203,1.01,6.42,3,3,5
204,0.9,6.28,3,4,3
205,1.34,7.0,1,4,7
206,0.46,4.96,3,2,5
207,0.64,5.54,3,1,5
208,1.22,6.89,1,4,5
209,0.93,6.39,6,4,6
210,0.25,4.06,2,5,2
211,1.04,6.51,2,2,7
212,0.76,5.92,2,6,6
213,0.54,5.36,2,4,6
214,0.41,4.79,2,3,2
215,1.5,7.4,6,4,5
216,0.41,4.78,2,2,3
217,1.13,6.7,1,2,7
218,1.37,7.18,1,4,7
219,0.25,4.03,3,2,2
220,0.55,5.26,2,1,4
221,0.7,5.75,2,2,6
222,1.04,6.6,2,3,6
223,0.43,4.86,1,3,2
224,0.3,4.37,2,5,1
225,0.32,4.41,1,5,5
226,0.75,5.9,1,1,7
227,1.11,6.66,2,4,6
228,0.38,4.63,1,4,5
229,0.29,4.32,1,2,6
230,1.01,6.31,6,4,7
231,1.06,6.25,5,4,7
232,1.27,6.98,1,4,6
233,0.33,4.49,2,2,5
234,0.36,4.61,2,3,5
235,0.8,5.84,1,7,5
236,0.33,4.42,1,4,6
237,0.7,5.69,2,3,6
238,1.24,6.79,3,4,7
239,0.55,5.29,3,2,2
240,0.23,3.95,3,2,5
241,0.7,5.71,2,5,4
242,2.54,8.65,3,5,7
243,0.28,4.26,2,3,3
244,0.52,5.11,1,3,8
245,0.49,5.14,1,5,5
246,0.7,5.56,5,5,4
247,0.32,4.36,2,1,5
248,1.52,7.39,1,5,4
249,0.31,4.35,1,1,6
250,0.52,5.18,3,2,7
251,0.5,5.13,3,3,5
252,0.39,4.69,2,3,1
253,0.37,4.7,3,5,4
254,0.32,4.4,2,5,4
255,0.32,4.35,6,1,6
256,1.51,7.35,1,4,4
257,0.4,4.81,2,4,6
258,0.31,4.32,3,1,6
259,1.55,7.4,2,2,6
260,0.32,4.47,3,6,6
261,1.31,7.01,3,5,5
262,1.5,7.25,6,5,7
263,1.07,6.62,3,5,5
264,0.56,5.3,2,4,5
265,1.52,7.45,1,1,7
266,1.01,6.45,2,6,8
267,0.78,5.97,2,4,7
268,0.3,4.33,1,4,5
269,0.54,5.15,1,2,6
270,0.39,4.75,2,4,3
271,1.21,6.79,1,7,5
272,0.9,6.22,2,6,6
273,0.32,4.45,2,2,2
274,1.52,7.3,1,6,5
275,0.31,4.31,1,5,6
276,0.41,4.83,2,2,3
277,1.0,6.2,5,6,5
278,0.36,4.61,2,4,7
279,0.7,5.9,3,5,6
280,0.39,4.69,2,1,4
281,1.53,7.35,6,2,6
282,0.54,5.33,2,5,1
283,1.51,7.31,1,7,5
284,0.28,4.15,6,2,6
285,1.01,6.42,6,3,1
286,1.21,6.85,3,3,4
287,0.75,5.77,2,4,7
288,0.39,4.79,3,3,6
289,0.53,5.19,2,1,7
290,0.44,4.88,3,6,5
291,1.28,6.84,1,5,7
292,0.5,5.05,6,3,5
293,1.38,7.12,2,4,2
294,0.31,4.34,6,3,6
295,1.21,6.83,2,2,4
296,0.7,5.73,3,1,6
297,0.52,5.18,2,4,5
298,0.43,4.82,2,2,6
299,0.96,6.07,5,3,8
300,1.64,7.64,1,5,6
301,0.56,5.35,1,5,4
302,0.73,5.85,1,2,6
303,0.9,6.2,2,6,5
304,1.26,6.9,1,6,5
305,0.6,5.48,2,4,5
306,0.37,4.59,6,4,4
307,0.29,4.29,3,2,4
308,0.42,4.82,2,1,6
309,1.51,7.35,2,7,4
310,0.56,5.32,3,4,5
311,1.0,6.41,1,1,7
312,2.01,8.05,1,6,6
313,0.51,5.11,6,2,6
314,1.01,6.44,2,4,5
315,1.38,7.01,6,7,7
316,0.4,4.87,3,1,5
317,1.56,7.39,2,7,6
318,1.31,6.86,3,6,6
319,0.74,5.83,2,5,4
320,0.51,5.14,2,1,5
321,0.84,5.98,1,2,5
322,0.41,4.74,1,3,5
323,0.31,4.39,2,4,4
324,0.32,4.44,2,1,6
325,1.21,6.64,5,7,7
326,0.31,4.41,2,1,5
327,0.36,4.54,2,1,6
328,0.7,5.82,6,4,2
329,0.71,5.82,2,1,5
330,2.02,8.11,2,6,6
331,0.7,5.75,2,1,6
332,0.54,5.29,2,3,3
333,0.3,4.24,2,5,2
334,1.24,7.01,1,1,6
335,0.9,6.17,3,4,6
336,1.16,6.77,2,4,7
337,0.3,4.37,3,6,6
338,0.31,4.37,2,2,5
339,1.51,7.36,3,5,5
340,0.33,4.48,2,4,4
341,0.3,4.29,1,5,7
342,0.33,4.49,2,6,1
343,0.53,5.28,1,3,4
344,0.41,4.75,3,1,6
345,0.73,5.82,2,2,5
346,0.54,5.3,2,4,3
347,1.01,6.37,6,4,7
348,1.05,6.51,3,4,4
349,0.71,5.77,2,6,5
350,0.32,4.42,2,2,6
351,0.53,5.17,2,1,5
352,1.0,6.54,6,2,5
353,0.44,4.97,2,2,2
354,0.3,4.29,3,3,2
355,1.53,7.47,2,4,4
356,1.06,6.6,2,3,5
357,0.42,4.86,2,6,4
358,0.31,4.38,1,5,1
359,2.03,8.17,1,6,5
360,0.77,5.84,3,4,6
361,1.32,7.0,3,5,6
362,0.67,5.5,3,3,5
363,0.93,6.14,3,7,5
364,2.01,7.96,2,6,6
365,0.31,4.3,6,6,4
366,1.02,6.42,1,1,6
367,0.51,5.09,2,1,5
368,0.71,5.81,2,1,5
369,1.06,6.54,3,2,1
370,1.12,6.66,2,1,5
371,0.59,5.49,3,1,3
372,0.33,4.4,1,3,3
373,0.52,5.18,2,3,1
374,1.07,6.61,2,2,3
375,1.24,6.99,6,4,4
376,0.7,5.82,3,2,5
377,0.55,5.31,2,4,4
378,0.91,6.27,1,5,5
379,1.21,6.83,3,5,6
380,0.5,4.96,5,3,4
381,0.61,5.47,2,3,3
382,0.41,4.86,2,1,6
383,0.53,5.25,3,6,4
384,1.03,6.56,1,2,3
385,0.55,5.29,2,1,4
386,1.06,6.35,5,7,7
387,1.51,7.32,3,2,5
388,0.32,4.44,2,1,5
389,0.27,4.25,2,2,3
390,0.57,5.31,1,2,6
391,0.93,6.28,1,4,7
392,0.51,5.1,6,4,5
393,0.33,4.46,2,2,5
394,1.51,7.48,2,4,4
395,1.53,7.43,3,5,7
396,0.3,4.33,2,2,4
397,1.0,6.38,2,2,6
398,0.74,5.81,2,6,1
399,0.5,5.04,1,4,4
400,0.71,5.83,2,2,5
401,0.41,4.81,2,3,5
402,1.57,7.51,1,5,4
403,1.01,6.28,6,3,6
404,0.9,6.28,3,2,5
405,0.43,4.91,1,3,7
406,0.32,4.38,2,2,1
407,1.01,6.46,2,4,7
408,1.53,7.41,1,1,7
409,0.53,5.2,2,2,3
410,2.0,7.78,5,4,7
411,1.2,6.75,3,1,7
412,0.61,5.53,2,4,5
413,0.31,4.37,1,2,5
414,1.01,6.53,2,6,5
415,0.42,4.78,6,3,6
416,1.06,6.61,2,4,7
417,0.76,5.89,2,2,5
418,0.51,5.22,2,5,3
419,1.0,6.38,6,4,3
420,0.9,6.15,2,3,7
421,0.7,5.64,3,5,7
422,1.01,6.35,2,2,6
423,0.72,5.77,1,4,6
424,1.57,7.47,2,4,4
425,0.7,5.81,6,3,6
426,1.18,6.73,2,6,4
427,0.9,6.18,3,6,4
428,0.4,4.78,2,4,2
429,0.73,5.77,2,1,7
430,1.15,6.69,3,1,7
431,0.5,5.12,2,1,7
432,0.71,5.81,2,5,6
433,1.0,6.42,3,3,4
434,1.6,7.49,1,7,4
435,2.04,8.19,3,6,7
436,0.33,4.47,1,4,3
437,0.41,4.76,2,4,2
438,0.4,4.71,2,3,5
439,1.0,6.29,6,1,6
440,0.32,4.39,1,5,5
441,0.62,5.51,5,2,7
442,2.01,7.86,6,6,5
443,0.44,4.85,6,2,5
444,0.42,4.79,2,4,6
445,0.34,4.39,3,5,5
446,0.9,5.97,6,2,7
447,0.7,5.64,6,2,5
448,0.36,4.69,2,4,2
449,0.3,4.33,2,1,5
450,1.51,7.2,6,4,4
451,1.24,6.74,1,6,6
452,1.5,7.11,6,2,7
453,1.0,6.33,6,4,5
454,0.32,4.42,2,6,3
455,0.35,4.54,3,5,4
456,2.2,8.29,2,6,7
457,0.34,4.54,2,3,7
458,0.31,4.38,2,5,4
459,0.31,4.37,2,2,4
460,0.51,5.18,2,1,1
461,2.3,8.45,2,6,7
462,0.71,5.8,1,1,6
463,1.5,7.33,1,7,7
464,1.14,6.64,1,6,4
465,1.01,6.36,6,7,6
466,0.53,5.18,6,4,6
467,0.26,4.12,3,1,2
468,0.41,4.76,2,2,4
469,0.3,4.3,6,6,7
470,0.32,4.34,3,2,6
471,0.4,4.81,1,2,4
472,0.7,5.7,3,1,6
473,0.91,6.06,6,1,7
474,1.12,6.85,3,4,7
475,0.54,5.21,2,4,2
476,0.38,4.77,3,2,5
477,0.41,4.84,2,3,1
478,1.25,6.98,1,6,5
479,0.85,6.09,2,1,6
480,1.46,7.23,1,1,7
481,0.8,6.14,5,2,6
482,0.3,4.34,2,5,3
483,0.42,4.82,3,2,3
484,1.0,6.31,6,3,5
485,0.37,4.71,2,4,2
486,1.05,6.54,1,3,6
487,0.41,4.75,1,3,4
488,0.74,5.83,2,5,6
489,0.32,4.4,2,4,2
490,0.9,5.9,5,5,6
491,0.39,4.69,2,7,7
492,0.38,4.75,2,2,4
493,0.75,5.84,1,2,6
494,0.41,4.75,2,4,5
495,0.75,5.76,3,1,7
496,0.9,6.14,3,1,4
497,0.31,4.4,2,2,2
498,1.7,7.59,3,7,5
499,0.59,5.26,6,1,6
500,0.4,4.68,1,5,6
501,0.72,5.76,1,2,5
502,0.41,4.76,3,3,5
503,0.52,5.26,2,1,4
504,0.4,4.78,2,3,2
505,1.0,6.38,1,5,7
506,0.34,4.51,2,5,3
507,1.5,7.12,3,2,7
508,0.25,4.11,2,2,3
509,1.01,6.47,1,2,5
510,0.41,4.79,3,2,5
511,1.62,7.58,2,6,5
512,0.52,5.13,3,5,4
513,2.05,8.16,2,7,4
514,0.59,5.47,2,3,4
515,0.42,4.79,1,5,4
516,1.56,7.62,6,7,5
517,1.0,6.36,1,4,5
518,0.76,5.83,2,5,6
519,0.31,4.42,2,2,4
520,0.54,5.18,1,3,7
521,1.33,6.92,6,4,4
522,0.36,4.53,6,4,6
523,0.5,5.01,1,3,5
524,0.71,5.76,2,2,2
525,0.32,4.38,2,4,6
526,1.52,7.38,2,2,6
527,0.9,6.15,1,1,7
528,0.27,4.18,2,6,4
529,0.3,4.32,2,4,4
530,0.43,4.77,2,5,6
531,0.34,4.52,2,5,6
532,0.36,4.61,2,3,4
533,0.36,4.73,3,4,3
534,0.7,5.72,3,3,6
535,0.5,5.1,1,2,6
536,0.69,5.77,5,6,4
537,0.57,5.34,2,5,5
538,0.74,5.76,3,2,4
539,1.01,6.3,6,1,7
540,0.65,5.57,6,3,4
541,1.5,7.15,6,5,6
542,0.83,5.98,3,2,6
543,1.01,6.47,3,3,6
544,0.56,5.23,3,2,3
545,1.51,7.24,3,4,6
546,0.51,5.18,3,2,6
547,0.9,6.17,3,3,5
548,0.3,4.27,1,4,7
549,0.32,4.38,1,4,1
550,0.31,4.32,6,6,4
551,0.43,4.82,1,2,7
552,0.51,5.19,3,5,6
553,0.4,4.68,3,3,5
554,0.71,5.74,2,5,7
555,0.34,4.42,1,1,6
556,1.06,6.48,6,4,5
557,0.51,5.18,1,4,3
558,0.34,4.53,3,3,2
559,0.91,6.33,1,1,6
560,1.23,6.88,1,7,5
561,0.3,4.26,1,5,5
562,0.4,4.78,2,1,6
563,1.01,6.27,6,2,5
564,0.31,4.35,1,4,6
565,0.47,4.97,1,2,4
566,2.43,8.5,3,5,7
567,0.7,5.56,3,2,6
568,2.12,8.32,3,3,7
569,0.46,4.89,3,1,5
570,0.71,5.77,2,2,3
571,1.09,6.6,1,2,7
572,1.02,6.51,1,2,6
573,1.3,7.11,3,2,3
574,0.5,5.09,1,2,6
575,0.7,5.62,1,4,6
576,0.62,5.49,2,4,7
577,2.27,8.36,1,7,4
578,0.93,6.38,6,1,7
579,1.2,6.74,6,4,4
580,0.72,5.77,2,2,5
581,1.15,6.69,1,1,6
582,1.0,6.33,1,4,4
583,0.3,4.33,2,5,6
584,1.24,6.91,1,5,4
585,0.58,5.33,2,3,5
586,1.2,6.95,3,6,7
587,0.57,5.47,3,2,5
588,0.54,5.31,3,4,2
589,0.56,5.32,2,4,6
590,0.28,4.25,3,1,2
591,1.12,6.69,1,4,8
592,1.1,6.67,3,1,7
593,1.02,6.24,5,3,7
594,0.52,5.13,3,3,6
595,0.36,4.63,2,1,6
596,1.11,6.73,2,5,7
597,0.7,5.73,1,1,7
598,0.51,5.07,3,2,6
599,0.31,4.44,3,4,3
600,1.26,6.85,1,1,5
601,1.04,6.46,2,4,5
602,1.01,6.29,6,2,4
603,0.23,4.02,3,3,2
604,1.7,7.5,6,4,4
605,0.32,4.39,3,4,4
606,0.55,5.36,1,2,5
607,1.08,6.61,2,6,5
608,0.7,5.72,2,1,4
609,1.5,7.29,2,5,6
610,0.51,5.14,3,1,5
611,0.39,4.61,3,4,5
612,0.9,6.06,1,4,4
613,1.51,7.53,6,1,8
614,0.41,4.78,1,1,6
615,1.0,6.46,2,3,7
616,0.52,5.19,2,3,6
617,0.55,5.28,1,2,6
618,0.33,4.42,1,3,6
619,0.53,5.16,6,4,5
620,1.01,6.41,1,4,3
621,0.3,4.29,1,3,5
622,0.42,4.86,1,1,6
623,0.85,6.01,2,3,5
624,0.24,3.94,2,7,3
625,1.02,6.49,2,3,1
626,0.9,6.07,6,4,6
627,0.25,4.09,1,2,2
628,1.07,6.65,1,5,6
629,0.32,4.32,3,4,7
630,0.31,4.34,2,5,4
631,0.54,5.29,2,4,6
632,1.0,6.2,3,2,6
633,0.62,5.5,2,3,3
634,1.01,6.42,1,4,5
635,1.02,6.43,3,5,6
636,0.31,4.38,2,2,2
637,0.5,4.99,1,3,6
638,1.01,6.35,3,4,5
639,1.7,7.38,1,7,5
640,1.0,6.44,2,2,5
641,0.41,4.79,2,4,3
642,0.5,5.0,2,1,4
643,0.9,6.01,3,5,5
644,0.3,4.31,3,2,6
645,0.31,4.26,6,3,5
646,0.7,5.54,1,4,5
647,0.34,4.57,3,3,7
648,0.31,4.28,6,2,6
649,1.5,7.27,1,3,6
650,1.11,6.65,2,4,4
651,0.41,4.8,3,1,6
652,1.31,7.1,2,6,5
653,1.7,7.67,3,4,5
654,0.52,5.2,2,2,6
655,0.53,5.15,2,3,4
656,0.32,4.36,1,5,6
657,0.26,4.11,2,3,2
658,1.01,6.34,1,3,5
659,1.34,7.08,2,7,7
660,0.53,5.24,2,3,3
661,1.39,7.23,2,3,5
662,0.64,5.56,2,1,2
663,0.3,4.32,2,5,6
664,1.61,7.46,1,5,6
665,0.31,4.38,2,1,3
666,0.26,4.1,2,3,3
667,0.31,4.32,6,3,5
668,0.33,4.42,2,3,2
669,0.31,4.34,2,3,5
670,1.11,6.63,3,3,2
671,0.9,6.16,3,2,6
672,0.52,5.27,2,1,5
673,1.09,6.81,3,4,4
674,1.04,6.43,1,5,6
675,1.0,6.49,2,2,6
676,3.01,9.32,1,7,7
677,1.06,6.6,2,6,7
678,1.72,7.74,1,5,7
679,0.9,6.11,2,5,7
680,0.34,4.51,1,2,5
681,1.53,7.37,3,5,5
682,0.42,4.78,3,2,6
683,1.0,6.3,1,2,7
684,0.33,4.52,2,1,2
685,0.83,5.99,1,3,6
686,1.4,7.09,2,7,6
687,0.33,4.46,3,5,5
688,1.02,6.4,1,5,7
689,0.67,5.47,6,4,5
690,1.05,6.55,2,4,4
691,1.16,6.63,1,3,7
692,0.53,5.26,1,1,4
693,1.51,7.29,1,6,5
694,1.51,7.33,3,5,6
695,1.22,6.84,1,6,4
696,0.25,4.05,2,4,2
697,0.76,5.97,1,2,5
698,1.51,7.35,3,5,7
699,1.04,6.5,3,2,4
700,0.39,4.75,1,4,2
701,0.81,5.89,1,4,7
702,2.01,8.17,6,2,7
703,0.6,5.31,2,3,4
704,0.24,3.93,6,3,3
705,0.51,5.19,3,2,5
706,0.3,4.42,3,1,3
707,1.3,6.94,1,4,7
708,0.7,5.62,6,3,5
709,1.21,6.89,2,7,6
710,1.07,6.55,3,4,5
711,1.51,7.4,2,5,6
712,0.9,6.23,2,5,6
713,1.07,6.78,3,6,6
714,0.91,6.11,6,4,4
715,0.52,5.14,2,4,4
716,0.9,5.99,5,5,7
717,0.51,5.13,2,6,5
718,0.41,4.8,2,6,3
719,0.39,4.7,1,4,6
720,0.9,6.13,1,2,5
721,1.2,6.74,1,6,5
722,1.0,6.15,6,5,7
723,0.3,4.34,2,4,1
724,0.38,4.7,2,3,2
725,0.6,5.43,1,2,6
726,1.06,6.49,2,5,6
727,0.55,5.29,3,4,5
728,0.26,4.06,6,3,2
729,1.11,6.56,3,4,7
730,0.3,4.28,6,1,3
731,0.55,5.29,2,1,3
732,1.51,7.34,2,5,5
733,0.9,6.35,3,3,6
734,0.82,6.2,3,3,5
735,0.32,4.41,1,3,5
736,0.41,4.84,2,3,6
737,0.7,5.83,2,4,3
738,1.52,7.35,2,1,5
739,1.02,6.43,2,6,5
740,0.34,4.53,2,5,1
741,0.29,4.29,3,3,4
742,1.51,7.29,1,3,7
743,1.13,6.8,3,6,7
744,1.03,6.49,2,3,3
745,1.33,7.03,2,1,5
746,1.7,7.61,2,5,4
747,1.64,7.61,1,7,4
748,1.26,6.95,2,7,2
749,1.02,6.46,2,2,4
750,1.26,6.93,1,5,6
751,0.74,5.83,2,2,6
752,0.38,4.75,1,1,6
753,0.31,4.39,2,5,6
754,1.58,7.52,2,5,3
755,0.41,4.76,2,2,5
756,0.32,4.41,2,4,2
757,1.29,6.94,2,4,3
758,0.9,6.12,3,2,6
759,0.33,4.4,1,1,2
760,0.51,5.18,2,1,7
761,1.01,6.6,6,2,6
762,1.51,7.33,3,2,5
763,0.32,4.42,3,3,4
764,0.54,5.21,1,4,6
765,0.93,6.36,1,3,7
766,0.5,5.07,1,2,5
767,1.04,6.6,2,4,7
768,0.74,5.6,5,4,3
769,1.04,6.51,2,5,7
770,0.7,5.65,3,5,5
771,0.31,4.38,2,2,4
772,1.23,6.9,2,5,6
773,1.01,6.39,6,3,7
774,0.72,5.79,2,3,5
775,0.39,4.7,1,1,3
776,0.31,4.43,2,6,7
777,1.0,6.33,1,7,6
778,0.71,5.61,6,3,6
779,0.27,4.12,2,1,2
780,0.41,4.78,2,6,3
781,0.4,4.76,1,4,3
782,0.73,5.84,2,4,6
783,0.64,5.57,2,5,6
784,1.0,6.39,1,4,7
785,0.3,4.29,2,4,4
786,0.7,5.78,2,4,6
787,1.5,7.1,3,5,4
788,1.08,6.64,2,2,2
789,0.31,4.37,2,3,1
790,0.31,4.38,2,5,3
791,0.61,5.44,2,4,4
792,0.8,5.93,1,4,1
793,0.5,5.21,3,4,7
794,0.55,5.28,2,2,6
795,0.42,4.79,2,2,5
796,1.01,6.44,3,5,6
797,1.24,6.89,1,2,7
798,1.21,6.91,1,2,7
799,2.01,7.85,6,6,6
800,0.36,4.62,3,2,6
801,0.4,4.75,2,5,3
802,1.01,6.56,3,3,5
803,0.4,4.71,2,1,6
804,0.7,5.69,2,6,5
805,0.33,4.41,2,4,4
806,0.33,4.43,2,4,2
807,0.52,5.16,3,4,4
808,0.27,4.2,3,3,3
809,0.5,5.12,2,2,6
810,0.36,4.57,2,5,3
811,1.03,6.69,6,7,8
812,0.3,4.3,3,5,5
813,0.51,5.17,2,2,3
814,0.34,4.52,1,4,1
815,1.01,6.35,1,7,5
816,0.71,5.79,2,2,5
817,1.0,6.37,1,3,6
818,0.73,5.82,2,3,7
819,0.32,4.41,2,2,1
820,0.54,5.29,2,6,4
821,0.7,5.74,1,3,5
822,1.17,6.73,1,7,6
823,1.0,6.32,2,4,5
824,0.59,5.45,2,6,2
825,0.35,4.52,3,5,4
826,0.71,5.76,2,3,5
827,0.73,5.82,2,4,2
828,0.7,5.73,2,5,5
829,0.34,4.5,2,2,6
830,0.4,4.7,6,1,6
831,0.38,4.7,1,1,3
832,0.52,5.21,2,4,3
833,1.03,6.39,2,4,2
834,1.72,7.55,2,4,7
835,1.01,6.5,2,3,5
836,0.48,5.08,2,3,7
837,1.59,7.42,2,5,4
838,1.1,6.64,2,2,7
839,0.31,4.4,3,4,2
840,0.33,4.49,2,2,4
841,1.06,6.63,2,5,7
842,1.52,7.1,5,5,6
843,2.07,8.12,1,6,6
844,0.71,5.61,3,3,2
845,0.72,5.81,2,3,7
846,1.2,6.77,2,5,6
847,2.03,7.99,3,1,7
848,0.51,5.16,2,2,5
849,1.01,6.51,1,4,6
850,0.44,4.88,2,2,3
851,1.23,7.09,3,3,4
852,0.54,5.26,2,5,6
853,0.91,6.21,6,5,5
854,0.45,4.91,6,2,4
855,0.27,4.23,2,5,4
856,0.7,5.6,1,4,5
857,1.0,6.28,6,5,6
858,1.51,7.17,3,2,5
859,0.7,5.83,3,4,4
860,1.15,6.66,1,5,6
861,0.3,4.28,1,5,5
862,0.54,5.26,2,3,5
863,1.01,6.42,2,4,4
864,0.59,5.44,2,1,4
865,0.7,5.66,1,6,5
866,0.74,5.79,1,2,6
867,0.71,5.54,6,5,6
868,0.53,5.2,2,2,5
869,0.32,4.38,6,5,6
870,0.34,4.56,1,1,5
871,1.35,7.02,2,4,4
872,1.51,7.39,2,4,5
