price,carat,y,cut,color,clarity
671,0.31,4.39,2,4,3
1113,0.43,4.84,1,4,5
4284,0.9,6.2,2,3,6
5416,1.04,6.44,1,5,5
11177,1.76,7.7,1,7,4
9116,1.25,7.01,3,4,4
6695,1.22,6.74,1,4,6
4693,0.9,6.18,3,1,6
5595,1.17,6.86,3,4,7
11161,1.71,7.84,1,5,4
694,0.3,4.29,2,2,4
6206,1.04,6.49,1,4,5
8418,1.6,7.42,2,7,6
961,0.41,4.7,1,4,4
579,0.33,4.47,3,4,5
4702,1.14,6.81,3,7,4
1292,0.37,4.59,2,1,2
1993,0.54,5.22,2,1,5
1569,0.51,5.18,2,1,6
3507,1.03,6.51,2,3,8
445,0.25,4.08,2,5,4
5690,1.27,6.8,3,7,4
8794,1.51,7.36,2,4,7
5387,1.21,6.72,3,6,5
2059,0.48,5.05,2,3,1
1238,0.4,4.71,2,2,3
882,0.4,4.69,3,3,6
972,0.32,4.36,2,1,5
795,0.33,4.48,3,5,1
5068,1.44,7.23,3,2,8
1105,0.54,5.21,3,6,7
499,0.23,3.99,3,2,2
1173,0.52,5.1,3,2,7
945,0.3,4.31,1,3,3
2902,0.73,5.73,1,2,5
4608,1.05,6.49,6,5,6
1574,0.51,5.09,3,3,5
5571,1.13,6.58,1,5,5
12862,1.5,7.24,3,4,4
17476,2.01,8.2,3,5,6
3812,0.93,6.15,6,1,6
4153,1.01,6.5,3,7,6
12117,1.7,7.59,6,5,5
2047,0.71,5.74,2,7,5
8721,1.12,6.58,1,4,3
8842,1.29,7.11,1,4,5
1921,0.63,5.33,1,5,4
7577,1.23,6.86,1,5,4
1140,0.32,4.36,2,1,2
1061,0.41,4.71,1,6,3
1268,0.53,5.21,2,3,6
11975,2.0,8.01,1,5,7
1107,0.41,4.76,2,3,5
4566,1.04,6.22,5,2,7
3041,0.71,5.7,2,3,4
755,0.41,4.76,3,2,6
2370,0.79,5.88,1,5,7
5562,1.2,6.94,2,4,7
779,0.37,4.68,3,2,3
4504,0.76,5.96,3,3,2
844,0.34,4.55,2,5,1
4498,1.19,6.74,1,7,6
3663,1.22,6.87,3,5,8
2352,0.74,5.76,3,6,6
4077,1.0,6.3,1,2,7
1031,0.42,4.82,2,4,3
15351,2.0,7.59,5,3,7
1624,0.5,5.11,3,2,5
7090,1.33,6.92,6,6,4
622,0.27,4.14,2,2,3
6526,1.2,6.73,3,4,6
4437,0.91,6.26,3,3,6
491,0.3,4.32,2,6,4
2874,0.7,5.67,1,3,4
2921,0.71,5.79,3,1,6
4152,0.9,6.25,1,4,5
2184,0.7,5.73,1,3,7
9784,1.05,6.41,2,3,2
3360,0.7,5.75,2,1,5
15415,1.54,7.43,2,4,3
3050,0.62,5.66,3,1,3
666,0.33,4.42,2,4,4
6530,1.22,6.74,3,3,6
4672,1.01,6.33,6,4,6
3354,0.7,5.74,2,4,2
579,0.33,4.43,1,2,6
1746,0.5,5.15,1,4,4
2613,0.7,5.68,3,4,4
1084,0.34,4.48,2,4,1
1569,0.51,5.14,1,1,6
8681,1.51,7.07,5,4,6
10314,1.09,6.64,2,2,3
1667,0.54,5.34,1,3,5
7339,1.41,7.44,3,5,7
4276,1.01,6.16,6,3,6
7743,1.0,6.5,3,4,5
2869,0.72,5.84,2,2,6
5364,1.03,6.48,1,5,5
1020,0.53,5.23,2,5,7
4604,1.02,6.33,3,5,5
6132,1.5,7.32,1,5,7
3209,0.79,6.0,2,1,6
16407,1.5,7.32,3,1,4
1819,0.56,5.35,2,2,5
8151,1.52,7.5,3,4,7
810,0.33,4.46,1,4,2
12221,2.0,7.97,3,6,7
11141,1.23,6.84,2,3,3
3805,0.9,6.22,2,4,7
447,0.34,4.51,3,6,6
769,0.26,4.08,2,1,3
2451,0.79,6.04,6,6,5
1944,0.72,5.81,1,7,5
5221,1.0,6.36,1,3,6
1042,0.41,4.76,2,4,5
3425,0.7,5.71,1,1,4
1400,0.42,4.84,2,2,2
438,0.25,4.11,2,4,4
5857,1.33,7.07,2,7,6
2824,0.82,6.03,1,2,7
838,0.33,4.5,2,4,2
8654,1.43,7.29,3,5,6
743,0.33,4.41,1,6,3
2400,0.7,5.78,3,3,5
1268,0.54,5.27,2,5,6
6982,1.52,7.23,6,7,5
1272,0.5,5.12,1,1,6
3977,0.9,6.1,3,3,7
11820,1.53,7.45,2,3,6
6048,1.35,7.06,2,7,4
1013,0.3,4.25,1,2,3
538,0.36,4.59,2,5,6
2596,0.7,5.74,1,1,7
607,0.29,4.25,2,4,3
10950,1.51,7.32,3,5,5
684,0.31,4.34,2,1,6
2648,0.7,5.76,1,3,5
2131,0.62,5.53,6,3,3
6877,1.29,6.89,1,6,4
3671,1.01,6.27,1,5,7
467,0.41,4.74,6,4,8
524,0.32,4.42,2,5,4
4344,1.04,6.54,2,6,6
4749,1.06,6.63,2,5,7
2396,0.76,5.84,3,5,6
2499,0.82,6.07,1,5,7
6079,1.32,7.04,3,7,5
7922,1.84,7.87,1,5,7
1230,0.41,4.78,2,4,2
6999,1.01,6.39,6,1,5
2527,0.73,5.78,1,3,6
2310,0.7,5.75,2,1,6
1348,0.5,5.0,6,2,5
18701,3.51,9.63,1,7,5
2068,0.59,5.42,3,2,5
11460,1.51,7.3,3,2,6
708,0.32,4.42,2,4,3
961,0.34,4.49,2,1,4
1579,0.62,5.46,1,2,7
13369,2.21,8.23,1,5,7
4327,1.01,6.48,2,4,7
453,0.31,4.39,2,7,3
1002,0.46,4.76,5,4,5
530,0.23,3.99,2,2,3
1712,0.55,5.24,2,6,2
990,0.32,4.35,2,3,2
5268,1.5,7.11,1,7,7
773,0.42,4.84,1,3,6
8794,1.51,7.08,5,4,7
2254,0.72,5.71,6,1,7
4102,1.01,6.22,5,4,6
2156,0.63,5.51,2,2,5
6780,1.07,6.67,3,4,4
2207,0.61,5.53,2,1,5
11333,1.59,7.48,1,5,5
807,0.4,4.72,3,4,5
1295,0.41,4.85,2,3,2
7553,1.51,7.17,1,7,5
8742,1.03,6.52,2,1,4
5744,1.03,6.55,1,5,4
743,0.33,4.43,1,2,6
843,0.32,4.44,2,2,3
637,0.34,4.56,2,2,6
1148,0.51,5.13,2,4,7
4580,0.9,6.15,6,2,5
974,0.41,4.81,3,3,4
14615,2.11,8.39,1,6,7
15464,1.11,6.69,2,2,1
13247,1.7,7.62,2,6,3
911,0.3,4.31,2,2,4
886,0.3,4.32,2,3,1
872,0.32,4.4,3,4,1
6256,1.33,7.05,1,2,7
3328,0.73,5.78,2,2,5
2952,0.7,5.72,6,2,4
6217,1.06,6.63,3,4,5
1105,0.52,5.04,1,6,6
15219,1.01,6.26,3,1,1
1877,0.51,5.21,2,2,5
781,0.33,4.46,2,1,5
787,0.33,4.43,3,5,1
982,0.4,4.77,2,1,5
1436,0.5,5.13,3,1,6
1845,0.5,5.07,2,1,5
936,0.32,4.37,2,5,2
758,0.34,4.5,2,2,5
2242,0.61,5.49,2,4,3
4710,1.07,6.68,6,1,7
10197,1.01,6.47,2,3,2
10239,1.52,7.48,2,5,6
2142,0.7,5.62,1,5,7
5038,1.02,6.35,3,3,6
1181,0.5,5.16,1,2,7
811,0.37,4.63,1,2,5
7785,1.26,7.14,3,1,6
853,0.4,4.85,3,4,4
15873,2.08,8.16,1,2,7
1662,0.51,5.12,2,2,5
9837,1.3,6.96,3,4,4
749,0.37,4.64,1,5,5
765,0.34,4.46,3,2,6
614,0.35,4.52,3,2,6
610,0.38,4.67,2,6,6
2340,0.78,5.92,2,2,7
3997,0.9,6.17,3,1,6
1033,0.34,4.45,2,2,4
844,0.34,4.5,2,4,2
7006,2.23,8.2,3,4,8
9548,1.6,7.39,2,5,6
15647,2.12,8.31,2,6,7
620,0.27,4.21,3,2,2
5219,1.02,6.54,6,1,6
2528,0.7,5.74,2,3,6
17114,2.09,8.22,2,6,6
797,0.33,4.42,1,4,4
847,0.39,4.67,6,3,4
680,0.31,4.36,2,2,5
9574,1.23,6.96,1,4,4
4798,1.12,6.69,1,4,7
1590,0.56,5.28,3,4,5
4168,0.92,6.19,1,1,7
12723,1.7,7.58,6,5,5
14740,2.11,8.27,3,6,6
3792,1.01,6.38,3,6,7
736,0.4,4.69,2,4,6
3842,0.74,5.86,2,3,3
1070,0.46,4.71,5,2,5
4425,1.16,6.84,2,4,7
3282,0.92,6.41,1,3,7
14350,2.02,8.0,1,6,7
1799,0.55,5.29,2,4,3
8146,1.7,7.47,6,7,5
15458,1.64,7.63,2,3,5
7848,1.51,7.41,3,2,7
1266,0.5,5.13,2,6,4
3231,0.83,6.01,2,2,6
436,0.31,4.41,2,6,6
1365,0.5,5.29,6,2,5
7716,1.12,6.72,2,4,4
942,0.31,4.37,2,1,5
3864,1.12,6.6,2,2,7
948,0.43,4.86,2,3,6
1308,0.43,4.85,2,2,3
3363,0.91,6.27,2,5,7
1246,0.54,5.33,2,2,7
3932,1.06,6.6,2,7,7
473,0.3,4.27,6,5,5
827,0.41,4.77,2,5,4
6183,1.53,7.28,1,4,8
7084,1.0,6.26,6,2,2
4825,1.01,6.51,2,6,6
17999,2.35,8.38,1,5,6
3328,0.82,6.12,2,2,7
5722,1.03,6.43,1,5,5
3658,1.01,6.34,1,7,7
752,0.33,4.49,3,4,3
633,0.38,4.66,3,5,6
452,0.26,4.12,2,1,4
6998,1.07,6.64,3,4,4
12971,1.59,7.47,2,5,3
2723,0.78,6.03,6,2,6
8256,1.17,6.85,1,3,5
1158,0.4,4.73,2,2,3
2461,0.91,6.19,1,3,7
759,0.44,4.98,1,5,7
737,0.4,4.72,3,3,6
3293,0.8,5.86,3,2,6
436,0.31,4.39,2,4,7
908,0.42,4.82,2,2,5
1007,0.41,4.78,2,6,1
600,0.38,4.64,1,7,4
6602,1.31,6.96,1,5,7
3640,0.76,5.85,3,3,3
13464,2.01,8.12,3,6,6
4294,1.18,6.74,3,7,7
5324,1.21,6.86,2,7,4
3919,0.9,6.09,1,5,5
924,0.31,4.38,2,4,1
1002,0.33,4.46,2,1,5
3380,0.71,5.66,2,2,4
599,0.3,4.25,5,3,6
661,0.32,4.39,3,2,4
13787,1.56,7.49,2,4,5
1011,0.49,5.12,1,5,7
686,0.34,4.48,3,3,5
3325,0.7,5.79,2,5,3
3890,0.8,6.03,2,2,6
605,0.3,4.35,2,4,4
734,0.31,4.37,2,1,5
7291,1.5,7.21,1,5,7
952,0.35,4.57,2,1,4
5037,1.03,6.48,1,4,6
5455,1.02,6.53,3,5,6
447,0.3,4.3,6,1,7
7302,1.63,7.54,1,6,6
2400,0.58,5.35,3,1,3
2836,0.71,5.65,6,2,5
2458,0.71,5.65,1,3,6
1755,0.55,5.29,1,3,4
410,0.25,4.05,3,1,4
3749,1.01,6.4,3,7,6
5105,1.04,6.52,2,6,5
6486,1.05,6.56,2,4,5
2459,0.55,5.38,2,1,5
1625,0.56,5.32,2,2,5
1273,0.53,5.21,1,4,6
1785,0.57,5.35,3,2,5
729,0.36,4.57,2,5,5
3303,0.9,6.13,3,4,7
765,0.34,4.49,2,4,5
708,0.32,4.44,2,4,3
872,0.31,4.38,2,2,5
3246,0.9,5.96,5,6,5
2697,0.7,5.7,1,2,5
652,0.31,4.39,2,6,1
4375,1.02,6.52,2,5,7
4497,0.71,5.75,2,3,3
645,0.32,4.38,3,3,5
2168,0.52,5.2,2,3,3
17516,2.32,8.49,2,6,7
568,0.3,4.3,2,3,5
6670,1.01,6.6,1,4,3
3607,0.73,5.72,3,2,4
1813,0.51,5.3,6,4,3
3748,0.9,6.13,3,2,6
2923,0.71,5.74,2,2,4
559,0.32,4.45,2,2,6
3201,0.73,5.79,2,2,5
650,0.23,3.99,2,3,3
13849,2.01,8.15,3,6,6
707,0.31,4.39,2,5,2
967,0.4,4.7,3,1,4
5528,1.04,6.53,2,2,6
832,0.36,4.74,3,1,4
513,0.36,4.62,2,7,4
2250,0.44,5.0,6,1,2
6502,1.35,7.02,2,5,5
4821,1.01,6.38,3,1,6
8449,1.24,6.91,2,4,4
1408,0.56,5.34,3,4,6
1179,0.37,4.59,2,2,2
3846,0.91,6.1,1,2,7
1114,0.33,4.45,2,4,2
9683,1.57,7.49,2,7,4
7812,1.5,7.24,1,5,7
924,0.31,4.36,1,4,1
4235,1.07,6.57,2,7,6
10435,1.23,6.96,3,4,2
720,0.32,4.35,1,6,3
583,0.35,4.52,2,3,6
4939,1.4,7.07,1,7,6
1937,0.54,5.29,2,3,4
4909,1.01,6.46,1,1,6
449,0.32,4.41,2,6,5
4224,0.91,6.12,3,5,4
3633,1.02,6.21,6,3,7
1052,0.33,4.43,2,4,1
2829,0.72,5.7,1,3,4
1370,0.53,5.24,3,3,6
18430,1.74,7.7,3,3,5
2921,0.9,5.98,5,6,5
4528,1.0,6.45,6,4,6
2112,0.72,5.78,2,5,7
4801,0.9,6.22,1,3,5
2858,0.71,5.68,1,2,5
3871,1.01,6.3,6,4,6
2826,0.7,5.6,1,2,4
2079,0.52,5.36,5,2,3
5989,1.15,6.69,2,5,5
709,0.3,4.32,2,1,6
1950,0.56,5.34,2,3,5
936,0.32,4.37,2,5,2
1002,0.31,4.4,2,2,1
3142,1.0,6.19,5,4,7
4524,1.02,6.37,3,2,6
954,0.4,4.72,3,5,2
2376,0.7,5.72,2,2,7
821,0.36,4.57,2,5,2
5759,1.01,6.47,3,4,5
505,0.23,3.93,3,3,3
863,0.36,4.58,2,2,4
1323,0.4,4.72,2,1,3
2141,0.71,5.81,2,6,5
2779,0.73,5.84,3,5,5
10090,1.82,7.96,3,7,4
863,0.3,4.35,2,4,1
541,0.31,4.34,2,1,6
3105,0.9,6.26,3,5,7
2109,0.54,5.3,2,3,3
1367,0.41,4.86,1,2,2
4772,1.15,6.78,1,5,6
6177,1.0,6.37,6,4,4
1856,0.53,5.22,2,3,4
1026,0.41,4.79,2,3,3
573,0.4,4.75,2,4,7
1443,0.51,5.03,3,4,5
614,0.35,4.59,1,2,6
2840,0.71,5.82,1,3,5
6366,1.16,6.64,1,2,6
9890,1.34,7.1,2,4,4
815,0.29,4.24,2,2,3
1220,0.53,5.29,2,3,7
645,0.32,4.4,3,4,4
5294,1.01,6.44,2,4,4
1013,0.3,4.32,1,2,3
13453,2.02,7.93,2,3,7
895,0.3,4.3,3,4,1
1443,0.51,5.11,2,4,5
2790,0.71,5.69,1,3,4
2456,0.71,5.68,3,6,2
984,0.42,4.82,2,4,4
8587,1.64,7.62,1,6,7
9979,1.32,7.09,1,4,4
4081,0.93,6.49,3,3,6
1080,0.4,4.64,6,6,2
720,0.32,4.36,1,2,6
3991,1.0,6.31,1,5,6
2426,0.52,5.35,3,1,3
1706,0.61,5.42,3,6,5
8124,1.3,6.93,2,5,5
963,0.38,4.61,2,2,5
7235,1.51,7.31,1,5,7
4321,1.0,6.51,3,2,7
1323,0.4,4.71,2,1,3
10424,1.56,7.44,1,5,5
8911,1.2,6.73,1,4,4
6132,1.12,6.8,3,1,6
14519,2.15,8.24,2,6,7
544,0.31,4.32,3,4,5
2337,0.72,5.78,2,2,7
993,0.38,4.7,2,4,2
1291,0.46,4.97,2,1,5
3080,0.71,5.75,2,5,5
1158,0.58,5.45,2,6,7
1098,0.5,4.9,5,2,6
2674,0.7,5.91,3,4,6
2420,0.72,5.78,2,6,3
2817,0.71,5.54,6,2,6
1660,0.51,5.17,2,1,5
15486,2.11,8.29,2,6,6
9901,1.1,6.72,3,1,4
18426,2.0,8.05,1,2,7
10076,2.52,8.33,5,4,8
5826,1.2,6.83,2,4,7
4377,1.11,6.66,2,6,7
2823,0.71,5.73,2,2,6
1949,0.57,5.35,2,2,5
8426,1.52,7.38,1,7,4
3892,1.03,6.71,5,6,6
625,0.31,4.34,2,3,5
1295,0.41,4.87,3,3,2
3752,0.7,5.76,2,1,4
1340,0.51,5.06,3,2,6
779,0.41,4.76,3,1,5
5513,1.32,7.01,3,7,7
992,0.42,4.79,2,2,6
2697,0.63,5.49,2,2,3
990,0.4,4.77,2,1,6
2356,0.54,5.33,2,3,2
9261,1.22,6.9,3,4,4
8387,1.2,6.56,6,4,4
17605,1.72,7.86,1,4,4
4997,1.0,6.49,3,4,6
917,0.4,4.78,2,3,4
2803,0.74,5.79,3,2,6
3248,0.65,5.59,2,4,2
6984,1.1,6.65,2,4,4
911,0.3,4.31,2,2,4
4181,1.22,6.68,6,4,7
2198,0.71,5.61,3,3,6
16043,2.03,7.88,3,7,3
3827,0.77,5.94,2,2,6
2695,0.7,5.59,1,2,4
3130,0.74,5.83,2,4,6
9987,1.5,7.44,3,5,6
1767,0.55,5.39,2,2,5
2043,0.72,5.83,1,1,7
694,0.3,4.31,2,2,4
3066,0.8,5.96,2,3,7
8974,1.5,7.35,3,6,5
837,0.3,4.37,2,2,3
4688,1.05,6.45,3,6,6
4323,0.7,5.76,2,1,4
1960,0.63,5.49,3,4,4
799,0.27,4.12,2,2,3
4191,1.01,6.48,1,5,6
2249,0.71,5.69,1,5,5
5163,1.18,6.84,2,6,7
4208,0.59,5.43,2,1,1
13938,2.18,8.21,1,7,6
3154,0.7,5.84,3,2,3
4082,0.9,6.19,1,5,5
698,0.31,4.3,3,2,6
3541,1.0,6.19,5,4,7
770,0.36,4.5,1,3,6
1715,0.55,5.28,2,2,5
1249,0.52,5.17,1,4,6
666,0.4,4.74,1,1,7
3740,1.06,6.52,1,7,7
854,0.33,4.43,2,3,5
3707,0.92,6.21,3,1,7
3428,0.9,6.17,2,4,7
1172,0.55,5.34,3,7,5
708,0.4,4.85,3,1,6
14603,1.95,7.94,3,5,6
4234,0.9,6.15,1,5,4
8248,1.03,6.54,2,4,2
1023,0.53,5.27,3,7,5
7002,1.21,6.83,2,6,3
1421,0.58,5.33,2,5,6
3557,0.73,5.86,1,1,4
478,0.24,4.06,3,2,3
4082,0.74,5.83,2,2,3
1775,0.7,5.57,3,6,7
2625,0.59,5.38,2,3,2
891,0.31,4.41,2,4,1
1965,0.75,5.85,6,7,6
9384,1.71,7.59,1,6,5
4116,0.9,6.2,3,4,4
2611,1.02,6.43,2,7,7
1080,0.36,4.53,1,3,4
3321,0.52,5.24,2,1,2
5288,1.01,6.31,1,3,6
1229,0.53,5.26,2,2,7
776,0.3,4.26,1,3,5
625,0.4,4.77,2,1,7
1055,0.45,4.88,2,4,4
12210,1.6,7.58,1,5,4
2749,0.75,5.83,3,6,3
8442,2.25,8.38,3,7,7
6135,1.66,7.56,2,3,8
2536,0.7,5.78,1,5,3
1024,0.35,4.51,1,5,2
781,0.33,4.49,2,1,5
778,0.41,4.97,3,5,6
876,0.41,4.74,1,1,7
2803,0.71,5.81,1,3,5
746,0.37,4.63,1,5,3
1080,0.32,4.45,1,2,3
9282,1.5,7.25,3,4,7
7467,1.52,7.31,3,7,5
1018,0.39,4.79,2,1,3
2581,0.55,5.27,2,3,3
583,0.31,4.31,6,4,4
5313,1.03,6.47,3,1,6
821,0.31,4.29,2,3,1
5589,1.01,6.45,2,5,6
3205,0.9,5.93,5,1,7
3167,0.85,6.14,2,2,6
1882,0.51,5.16,2,1,5
6674,1.01,6.45,1,3,5
7809,1.56,7.46,2,7,5
7193,1.06,6.53,2,5,2
5430,1.21,6.96,1,4,7
921,0.42,4.83,3,5,3
492,0.24,4.01,3,3,3
10669,1.62,7.6,1,6,5
657,0.26,4.16,3,3,2
931,0.4,4.79,2,4,3
6418,1.21,6.86,2,6,4
5154,1.04,6.56,1,1,7
1680,0.51,5.22,3,3,4
3852,1.01,6.34,6,4,7
675,0.3,4.31,2,5,4
2672,0.7,5.54,3,3,6
12146,1.56,7.53,2,5,5
972,0.32,4.37,2,1,5
886,0.32,4.4,3,3,2
782,0.47,5.05,2,5,7
8069,1.43,7.13,3,5,6
4290,1.03,6.47,2,4,7
589,0.34,4.43,2,6,6
2009,0.65,5.47,3,4,5
7094,1.21,6.84,1,5,4
1582,0.41,4.79,2,1,2
984,0.42,4.77,2,4,4
15110,1.51,7.3,3,4,3
1369,0.52,5.24,1,2,6
4284,0.91,6.25,3,2,6
4591,1.14,6.67,2,3,7
678,0.24,4.03,2,3,2
1021,0.38,4.68,1,1,5
401,0.26,4.16,3,3,6
10411,1.51,7.36,1,5,5
1752,0.5,5.1,1,1,5
1093,0.47,4.97,6,6,2
565,0.31,4.36,2,4,3
917,0.41,4.64,6,5,5
4474,0.91,6.41,5,3,5
1566,0.53,5.18,2,1,6
1715,0.71,5.57,6,6,6
5019,1.05,6.66,3,4,6
1363,0.53,5.14,6,4,6
1668,0.55,5.3,2,2,6
2764,0.71,5.72,2,1,6
478,0.24,4.1,3,1,2
872,0.31,4.32,2,2,5
2699,0.7,5.84,6,5,3
15937,1.7,7.62,3,4,5
1389,0.54,5.26,1,6,4
1944,0.54,5.28,2,5,2
1743,0.55,5.21,3,4,4
4950,1.0,6.4,1,5,4
2359,0.55,5.28,2,3,2
755,0.41,4.76,3,2,6
3696,1.0,6.59,6,2,7
3311,0.81,5.92,1,3,6
1609,0.55,5.23,3,3,5
672,0.32,4.33,3,2,6
683,0.41,4.78,1,1,7
4060,1.03,6.37,3,4,7
1397,0.4,4.75,2,2,2
805,0.34,4.48,2,1,5
16530,2.2,8.5,2,5,7
2195,0.51,5.08,6,3,3
698,0.31,4.31,3,2,6
16778,2.01,7.94,1,6,5
447,0.3,4.28,3,4,6
2082,0.61,5.43,3,4,4
571,0.31,4.35,2,1,6
