carat,y,cut,color,clarity
0.7,5.75,2,1,6
0.54,5.29,2,3,3
0.3,4.24,2,5,2
1.24,7.01,1,1,6
0.9,6.17,3,4,6
1.16,6.77,2,4,7
0.3,4.37,3,6,6
0.31,4.37,2,2,5
1.51,7.36,3,5,5
0.33,4.48,2,4,4
0.3,4.29,1,5,7
0.33,4.49,2,6,1
0.53,5.28,1,3,4
0.41,4.75,3,1,6
0.73,5.82,2,2,5
0.54,5.3,2,4,3
1.01,6.37,6,4,7
1.05,6.51,3,4,4
0.71,5.77,2,6,5
0.32,4.42,2,2,6
0.53,5.17,2,1,5
1.0,6.54,6,2,5
0.44,4.97,2,2,2
0.3,4.29,3,3,2
1.53,7.47,2,4,4
1.06,6.6,2,3,5
0.42,4.86,2,6,4
0.31,4.38,1,5,1
2.03,8.17,1,6,5
0.77,5.84,3,4,6
1.32,7.0,3,5,6
0.67,5.5,3,3,5
0.93,6.14,3,7,5
2.01,7.96,2,6,6
0.31,4.3,6,6,4
1.02,6.42,1,1,6
0.51,5.09,2,1,5
0.71,5.81,2,1,5
1.06,6.54,3,2,1
1.12,6.66,2,1,5
0.59,5.49,3,1,3
0.33,4.4,1,3,3
0.52,5.18,2,3,1
1.07,6.61,2,2,3
1.24,6.99,6,4,4
0.7,5.82,3,2,5
0.55,5.31,2,4,4
0.91,6.27,1,5,5
1.21,6.83,3,5,6
0.5,4.96,5,3,4
0.61,5.47,2,3,3
0.41,4.86,2,1,6
0.53,5.25,3,6,4
1.03,6.56,1,2,3
0.55,5.29,2,1,4
1.06,6.35,5,7,7
1.51,7.32,3,2,5
0.32,4.44,2,1,5
0.27,4.25,2,2,3
0.57,5.31,1,2,6
0.93,6.28,1,4,7
0.51,5.1,6,4,5
0.33,4.46,2,2,5
1.51,7.48,2,4,4
1.53,7.43,3,5,7
0.3,4.33,2,2,4
1.0,6.38,2,2,6
0.74,5.81,2,6,1
0.5,5.04,1,4,4
0.71,5.83,2,2,5
0.41,4.81,2,3,5
1.57,7.51,1,5,4
1.01,6.28,6,3,6
0.9,6.28,3,2,5
0.43,4.91,1,3,7
0.32,4.38,2,2,1
1.01,6.46,2,4,7
1.53,7.41,1,1,7
0.53,5.2,2,2,3
2.0,7.78,5,4,7
1.2,6.75,3,1,7
0.61,5.53,2,4,5
0.31,4.37,1,2,5
1.01,6.53,2,6,5
0.42,4.78,6,3,6
1.06,6.61,2,4,7
0.76,5.89,2,2,5
0.51,5.22,2,5,3
1.0,6.38,6,4,3
0.9,6.15,2,3,7
0.7,5.64,3,5,7
1.01,6.35,2,2,6
0.72,5.77,1,4,6
1.57,7.47,2,4,4
0.7,5.81,6,3,6
1.18,6.73,2,6,4
0.9,6.18,3,6,4
0.4,4.78,2,4,2
0.73,5.77,2,1,7
1.15,6.69,3,1,7
0.5,5.12,2,1,7
0.71,5.81,2,5,6
1.0,6.42,3,3,4
1.6,7.49,1,7,4
2.04,8.19,3,6,7
0.33,4.47,1,4,3
0.41,4.76,2,4,2
0.4,4.71,2,3,5
1.0,6.29,6,1,6
0.32,4.39,1,5,5
0.62,5.51,5,2,7
2.01,7.86,6,6,5
0.44,4.85,6,2,5
0.42,4.79,2,4,6
0.34,4.39,3,5,5
0.9,5.97,6,2,7
0.7,5.64,6,2,5
0.36,4.69,2,4,2
0.3,4.33,2,1,5
1.51,7.2,6,4,4
1.24,6.74,1,6,6
1.5,7.11,6,2,7
1.0,6.33,6,4,5
0.32,4.42,2,6,3
0.35,4.54,3,5,4
2.2,8.29,2,6,7
0.34,4.54,2,3,7
0.31,4.38,2,5,4
0.31,4.37,2,2,4
0.51,5.18,2,1,1
2.3,8.45,2,6,7
0.71,5.8,1,1,6
1.5,7.33,1,7,7
1.14,6.64,1,6,4
1.01,6.36,6,7,6
0.53,5.18,6,4,6
0.26,4.12,3,1,2
0.41,4.76,2,2,4
0.3,4.3,6,6,7
0.32,4.34,3,2,6
0.4,4.81,1,2,4
0.7,5.7,3,1,6
0.91,6.06,6,1,7
1.12,6.85,3,4,7
0.54,5.21,2,4,2
0.38,4.77,3,2,5
0.41,4.84,2,3,1
1.25,6.98,1,6,5
0.85,6.09,2,1,6
1.46,7.23,1,1,7
0.8,6.14,5,2,6
0.3,4.34,2,5,3
0.42,4.82,3,2,3
1.0,6.31,6,3,5
0.37,4.71,2,4,2
1.05,6.54,1,3,6
0.41,4.75,1,3,4
0.74,5.83,2,5,6
0.32,4.4,2,4,2
0.9,5.9,5,5,6
0.39,4.69,2,7,7
0.38,4.75,2,2,4
0.75,5.84,1,2,6
0.41,4.75,2,4,5
0.75,5.76,3,1,7
0.9,6.14,3,1,4
0.31,4.4,2,2,2
1.7,7.59,3,7,5
0.59,5.26,6,1,6
0.4,4.68,1,5,6
0.72,5.76,1,2,5
0.41,4.76,3,3,5
0.52,5.26,2,1,4
0.4,4.78,2,3,2
1.0,6.38,1,5,7
0.34,4.51,2,5,3
1.5,7.12,3,2,7
0.25,4.11,2,2,3
1.01,6.47,1,2,5
0.41,4.79,3,2,5
1.62,7.58,2,6,5
0.52,5.13,3,5,4
2.05,8.16,2,7,4
0.59,5.47,2,3,4
0.42,4.79,1,5,4
1.56,7.62,6,7,5
1.0,6.36,1,4,5
0.76,5.83,2,5,6
0.31,4.42,2,2,4
0.54,5.18,1,3,7
1.33,6.92,6,4,4
0.36,4.53,6,4,6
0.5,5.01,1,3,5
0.71,5.76,2,2,2
0.32,4.38,2,4,6
1.52,7.38,2,2,6
0.9,6.15,1,1,7
0.27,4.18,2,6,4
0.3,4.32,2,4,4
0.43,4.77,2,5,6
0.34,4.52,2,5,6
0.36,4.61,2,3,4
0.36,4.73,3,4,3
0.7,5.72,3,3,6
0.5,5.1,1,2,6
0.69,5.77,5,6,4
0.57,5.34,2,5,5
0.74,5.76,3,2,4
1.01,6.3,6,1,7
0.65,5.57,6,3,4
1.5,7.15,6,5,6
0.83,5.98,3,2,6
1.01,6.47,3,3,6
0.56,5.23,3,2,3
1.51,7.24,3,4,6
0.51,5.18,3,2,6
0.9,6.17,3,3,5
0.3,4.27,1,4,7
0.32,4.38,1,4,1
0.31,4.32,6,6,4
0.43,4.82,1,2,7
0.51,5.19,3,5,6
0.4,4.68,3,3,5
0.71,5.74,2,5,7
0.34,4.42,1,1,6
1.06,6.48,6,4,5
0.51,5.18,1,4,3
0.34,4.53,3,3,2
0.91,6.33,1,1,6
1.23,6.88,1,7,5
0.3,4.26,1,5,5
0.4,4.78,2,1,6
1.01,6.27,6,2,5
0.31,4.35,1,4,6
0.47,4.97,1,2,4
2.43,8.5,3,5,7
0.7,5.56,3,2,6
2.12,8.32,3,3,7
0.46,4.89,3,1,5
0.71,5.77,2,2,3
1.09,6.6,1,2,7
1.02,6.51,1,2,6
1.3,7.11,3,2,3
0.5,5.09,1,2,6
0.7,5.62,1,4,6
0.62,5.49,2,4,7
2.27,8.36,1,7,4
0.93,6.38,6,1,7
1.2,6.74,6,4,4
0.72,5.77,2,2,5
1.15,6.69,1,1,6
1.0,6.33,1,4,4
0.3,4.33,2,5,6
1.24,6.91,1,5,4
0.58,5.33,2,3,5
1.2,6.95,3,6,7
0.57,5.47,3,2,5
0.54,5.31,3,4,2
0.56,5.32,2,4,6
0.28,4.25,3,1,2
1.12,6.69,1,4,8
1.1,6.67,3,1,7
1.02,6.24,5,3,7
0.52,5.13,3,3,6
0.36,4.63,2,1,6
1.11,6.73,2,5,7
0.7,5.73,1,1,7
0.51,5.07,3,2,6
0.31,4.44,3,4,3
1.26,6.85,1,1,5
1.04,6.46,2,4,5
1.01,6.29,6,2,4
0.23,4.02,3,3,2
1.7,7.5,6,4,4
0.32,4.39,3,4,4
0.55,5.36,1,2,5
1.08,6.61,2,6,5
0.7,5.72,2,1,4
1.5,7.29,2,5,6
0.51,5.14,3,1,5
0.39,4.61,3,4,5
0.9,6.06,1,4,4
1.51,7.53,6,1,8
0.41,4.78,1,1,6
1.0,6.46,2,3,7
0.52,5.19,2,3,6
0.55,5.28,1,2,6
0.33,4.42,1,3,6
0.53,5.16,6,4,5
1.01,6.41,1,4,3
0.3,4.29,1,3,5
0.42,4.86,1,1,6
0.85,6.01,2,3,5
0.24,3.94,2,7,3
1.02,6.49,2,3,1
0.9,6.07,6,4,6
0.25,4.09,1,2,2
1.07,6.65,1,5,6
0.32,4.32,3,4,7
0.31,4.34,2,5,4
0.54,5.29,2,4,6
1.0,6.2,3,2,6
0.62,5.5,2,3,3
1.01,6.42,1,4,5
1.02,6.43,3,5,6
0.31,4.38,2,2,2
0.5,4.99,1,3,6
1.01,6.35,3,4,5
1.7,7.38,1,7,5
1.0,6.44,2,2,5
0.41,4.79,2,4,3
0.5,5.0,2,1,4
0.9,6.01,3,5,5
0.3,4.31,3,2,6
0.31,4.26,6,3,5
0.7,5.54,1,4,5
0.34,4.57,3,3,7
0.31,4.28,6,2,6
1.5,7.27,1,3,6
1.11,6.65,2,4,4
0.41,4.8,3,1,6
1.31,7.1,2,6,5
1.7,7.67,3,4,5
0.52,5.2,2,2,6
0.53,5.15,2,3,4
0.32,4.36,1,5,6
0.26,4.11,2,3,2
1.01,6.34,1,3,5
1.34,7.08,2,7,7
0.53,5.24,2,3,3
1.39,7.23,2,3,5
0.64,5.56,2,1,2
0.3,4.32,2,5,6
1.61,7.46,1,5,6
0.31,4.38,2,1,3
0.26,4.1,2,3,3
0.31,4.32,6,3,5
0.33,4.42,2,3,2
0.31,4.34,2,3,5
1.11,6.63,3,3,2
0.9,6.16,3,2,6
0.52,5.27,2,1,5
1.09,6.81,3,4,4
1.04,6.43,1,5,6
1.0,6.49,2,2,6
3.01,9.32,1,7,7
1.06,6.6,2,6,7
1.72,7.74,1,5,7
0.9,6.11,2,5,7
0.34,4.51,1,2,5
1.53,7.37,3,5,5
0.42,4.78,3,2,6
1.0,6.3,1,2,7
0.33,4.52,2,1,2
0.83,5.99,1,3,6
1.4,7.09,2,7,6
0.33,4.46,3,5,5
1.02,6.4,1,5,7
0.67,5.47,6,4,5
1.05,6.55,2,4,4
1.16,6.63,1,3,7
0.53,5.26,1,1,4
1.51,7.29,1,6,5
1.51,7.33,3,5,6
1.22,6.84,1,6,4
0.25,4.05,2,4,2
0.76,5.97,1,2,5
1.51,7.35,3,5,7
1.04,6.5,3,2,4
0.39,4.75,1,4,2
0.81,5.89,1,4,7
2.01,8.17,6,2,7
0.6,5.31,2,3,4
0.24,3.93,6,3,3
0.51,5.19,3,2,5
0.3,4.42,3,1,3
1.3,6.94,1,4,7
0.7,5.62,6,3,5
1.21,6.89,2,7,6
1.07,6.55,3,4,5
1.51,7.4,2,5,6
0.9,6.23,2,5,6
1.07,6.78,3,6,6
0.91,6.11,6,4,4
0.52,5.14,2,4,4
0.9,5.99,5,5,7
0.51,5.13,2,6,5
0.41,4.8,2,6,3
0.39,4.7,1,4,6
0.9,6.13,1,2,5
1.2,6.74,1,6,5
1.0,6.15,6,5,7
0.3,4.34,2,4,1
0.38,4.7,2,3,2
0.6,5.43,1,2,6
1.06,6.49,2,5,6
0.55,5.29,3,4,5
0.26,4.06,6,3,2
1.11,6.56,3,4,7
0.3,4.28,6,1,3
0.55,5.29,2,1,3
1.51,7.34,2,5,5
0.9,6.35,3,3,6
0.82,6.2,3,3,5
0.32,4.41,1,3,5
0.41,4.84,2,3,6
0.7,5.83,2,4,3
1.52,7.35,2,1,5
1.02,6.43,2,6,5
0.34,4.53,2,5,1
0.29,4.29,3,3,4
1.51,7.29,1,3,7
1.13,6.8,3,6,7
1.03,6.49,2,3,3
1.33,7.03,2,1,5
1.7,7.61,2,5,4
1.64,7.61,1,7,4
1.26,6.95,2,7,2
1.02,6.46,2,2,4
1.26,6.93,1,5,6
0.74,5.83,2,2,6
0.38,4.75,1,1,6
0.31,4.39,2,5,6
1.58,7.52,2,5,3
0.41,4.76,2,2,5
0.32,4.41,2,4,2
1.29,6.94,2,4,3
0.9,6.12,3,2,6
0.33,4.4,1,1,2
0.51,5.18,2,1,7
1.01,6.6,6,2,6
1.51,7.33,3,2,5
0.32,4.42,3,3,4
0.54,5.21,1,4,6
0.93,6.36,1,3,7
0.5,5.07,1,2,5
1.04,6.6,2,4,7
0.74,5.6,5,4,3
1.04,6.51,2,5,7
0.7,5.65,3,5,5
0.31,4.38,2,2,4
1.23,6.9,2,5,6
1.01,6.39,6,3,7
0.72,5.79,2,3,5
0.39,4.7,1,1,3
0.31,4.43,2,6,7
1.0,6.33,1,7,6
0.71,5.61,6,3,6
0.27,4.12,2,1,2
0.41,4.78,2,6,3
0.4,4.76,1,4,3
0.73,5.84,2,4,6
0.64,5.57,2,5,6
1.0,6.39,1,4,7
0.3,4.29,2,4,4
0.7,5.78,2,4,6
1.5,7.1,3,5,4
1.08,6.64,2,2,2
0.31,4.37,2,3,1
0.31,4.38,2,5,3
0.61,5.44,2,4,4
0.8,5.93,1,4,1
0.5,5.21,3,4,7
0.55,5.28,2,2,6
0.42,4.79,2,2,5
1.01,6.44,3,5,6
1.24,6.89,1,2,7
1.21,6.91,1,2,7
2.01,7.85,6,6,6
0.36,4.62,3,2,6
0.4,4.75,2,5,3
1.01,6.56,3,3,5
0.4,4.71,2,1,6
0.7,5.69,2,6,5
0.33,4.41,2,4,4
0.33,4.43,2,4,2
0.52,5.16,3,4,4
0.27,4.2,3,3,3
0.5,5.12,2,2,6
0.36,4.57,2,5,3
1.03,6.69,6,7,8
0.3,4.3,3,5,5
0.51,5.17,2,2,3
0.34,4.52,1,4,1
1.01,6.35,1,7,5
0.71,5.79,2,2,5
1.0,6.37,1,3,6
0.73,5.82,2,3,7
0.32,4.41,2,2,1
0.54,5.29,2,6,4
0.7,5.74,1,3,5
1.17,6.73,1,7,6
1.0,6.32,2,4,5
0.59,5.45,2,6,2
0.35,4.52,3,5,4
0.71,5.76,2,3,5
0.73,5.82,2,4,2
0.7,5.73,2,5,5
0.34,4.5,2,2,6
0.4,4.7,6,1,6
0.38,4.7,1,1,3
0.52,5.21,2,4,3
1.03,6.39,2,4,2
1.72,7.55,2,4,7
1.01,6.5,2,3,5
0.48,5.08,2,3,7
1.59,7.42,2,5,4
1.1,6.64,2,2,7
0.31,4.4,3,4,2
0.33,4.49,2,2,4
1.06,6.63,2,5,7
1.52,7.1,5,5,6
2.07,8.12,1,6,6
0.71,5.61,3,3,2
0.72,5.81,2,3,7
1.2,6.77,2,5,6
2.03,7.99,3,1,7
0.51,5.16,2,2,5
1.01,6.51,1,4,6
0.44,4.88,2,2,3
1.23,7.09,3,3,4
0.54,5.26,2,5,6
0.91,6.21,6,5,5
0.45,4.91,6,2,4
0.27,4.23,2,5,4
0.7,5.6,1,4,5
1.0,6.28,6,5,6
1.51,7.17,3,2,5
0.7,5.83,3,4,4
1.15,6.66,1,5,6
0.3,4.28,1,5,5
0.54,5.26,2,3,5
1.01,6.42,2,4,4
0.59,5.44,2,1,4
0.7,5.66,1,6,5
0.74,5.79,1,2,6
0.71,5.54,6,5,6
0.53,5.2,2,2,5
0.32,4.38,6,5,6
0.34,4.56,1,1,5
1.35,7.02,2,4,4
1.51,7.39,2,4,5
1.9,7.52,5,5,7
0.7,5.67,3,2,5
0.51,5.15,3,4,6
0.31,4.43,2,3,2
1.52,7.39,2,4,5
1.2,6.93,1,6,7
0.38,4.66,3,3,4
0.51,5.16,2,5,6
0.9,6.02,5,2,6
0.44,5.01,3,2,4
0.24,4.0,3,3,5
0.3,4.37,2,1,7
0.84,6.09,3,2,7
0.55,5.3,2,5,5
0.53,5.18,6,7,5
0.73,5.78,3,4,2
0.43,4.79,1,1,7
0.44,4.88,1,5,5
0.71,5.66,1,3,5
0.72,5.81,2,4,6
0.35,4.53,6,7,6
1.03,6.49,2,5,3
0.57,5.42,1,3,6
0.5,5.09,1,1,5
1.22,6.97,1,4,1
0.63,5.49,2,1,3
0.7,5.52,6,1,4
0.7,5.79,2,2,5
0.66,5.66,2,5,6
0.4,4.66,2,3,3
0.5,4.92,5,4,7
0.38,4.65,1,5,4
0.51,5.24,2,2,4
1.51,7.33,2,5,5
0.42,4.79,3,1,6
0.34,4.46,2,4,5
0.31,4.37,1,4,4
1.26,6.95,2,4,7
0.41,4.8,1,2,7
2.01,8.03,6,4,6
1.01,6.41,1,3,5
1.2,6.7,2,6,7
1.49,7.38,2,3,3
0.71,5.54,3,3,6
1.21,6.75,2,6,5
0.32,4.4,2,4,5
0.37,4.61,3,3,6
0.3,4.35,2,1,6
0.7,5.68,1,1,7
1.03,6.51,2,7,6
1.01,6.39,2,4,3
1.01,6.37,1,2,5
2.01,8.0,1,7,6
0.54,5.23,1,5,4
0.5,5.1,3,1,4
0.34,4.49,2,4,2
0.33,4.44,3,4,3
0.31,4.36,1,3,5
1.02,6.44,2,3,7
0.39,4.71,3,7,2
0.35,4.56,2,3,5
0.34,4.48,3,5,4
1.51,7.33,2,5,6
1.05,6.48,3,4,5
0.78,5.98,2,3,7
0.5,5.01,6,1,6
1.02,6.45,1,1,1
0.3,4.33,2,4,3
1.0,6.39,2,3,4
1.29,6.95,1,5,7
1.22,6.88,2,2,4
0.82,6.04,2,7,5
0.38,4.67,6,2,6
0.42,4.76,1,1,6
0.38,4.57,1,5,5
0.6,5.43,2,2,2
0.71,5.68,3,1,6
0.33,4.43,3,2,5
1.0,6.36,6,2,7
0.31,4.35,2,2,2
1.03,6.43,3,7,7
0.46,4.98,3,2,6
1.01,6.35,3,6,6
0.71,5.67,1,5,4
1.13,6.78,1,5,4
1.2,6.91,1,4,4
0.3,4.32,2,3,4
0.51,5.07,1,1,6
1.41,7.15,1,1,7
0.9,6.22,2,4,5
2.01,7.89,1,7,2
0.37,4.65,1,7,5
1.14,6.67,1,6,6
0.43,4.83,3,1,6
0.41,4.75,2,3,5
2.29,8.43,2,7,7
1.52,7.47,3,7,6
0.31,4.31,1,2,6
1.01,6.36,2,5,6
1.06,6.67,1,4,6
0.46,4.83,1,4,4
1.64,7.52,2,6,5
0.59,5.41,2,3,6
0.27,4.12,2,2,4
0.5,5.08,2,3,3
1.13,6.42,5,5,8
0.35,4.5,1,5,2
0.72,5.73,2,5,4
1.0,6.38,6,3,5
0.31,4.32,1,5,3
0.9,6.29,1,3,6
0.31,4.27,6,4,4
1.02,6.45,3,1,5
0.41,4.71,3,2,7
0.54,5.29,2,6,6
1.01,6.28,6,3,7
2.56,8.76,2,7,6
0.81,5.92,1,4,4
0.96,5.9,5,4,6
0.56,5.35,2,4,4
1.25,7.08,3,7,4
0.52,5.12,2,1,7
1.22,7.02,2,4,7
2.08,8.18,1,5,8
1.02,6.46,3,1,7
